Year,Habitat,Month,Oligochaeta,Hirudinea,Turbellaria,Sphaeriidae,Planorbidae,Stagnicola,Physa,Valvata,Bithynia,Amnicola,Elimia,Gammarus faciatus,Isopoda,Orconectes,Ephemeroptera,Trichoptera,Chironomidae,Acari,Dreissena polymorpha, Dreissena bugensis,Echinogammarus ,Pulmonata,Prosobranchia
1991,Cobble,July,110,1,6,38,0,45,26,1,0,85,53,90,0,18,12,8,10,0,449,0,0,71,139
1991,Cobble,July,264,0,13,26,0,187,12,2,0,69,35,78,0,9,0,6,7,0,295,0,0,199,107
1991,Cobble,July,77,0,5,2,0,23,3,0,0,54,23,32,0,9,1,8,3,0,122,0,0,26,77
1991,Cobble,July,70,0,0,1,1,94,4,0,0,44,8,59,0,11,1,3,22,0,100,0,0,99,52
1991,Cobble,July,74,0,8,1,0,59,1,1,0,22,3,17,0,0,0,6,6,0,93,0,0,60,26
1991,Cobble,Sep,51,0,0,5,2,44,36,20,0,230,234,383,0,3,1,1,0,8,350,0,0,83,485
1991,Cobble,Sep,7,0,0,0,0,26,28,7,0,117,208,392,0,4,1,8,1,3,1569,0,0,54,332
1991,Cobble,Sep,2,0,1,6,2,24,22,5,0,81,125,193,0,4,0,1,1,1,550,0,0,48,211
1991,Cobble,Sep,1,0,0,6,4,10,15,3,1,90,102,176,0,2,0,3,0,3,411,0,0,29,195
1991,Cobble,Sep,157,0,2,28,6,27,24,21,0,261,305,232,0,1,2,2,3,0,1758,0,0,57,587
1991,Reef,July,5,0,14,0,0,11,5,0,0,5,26,204,0,2,0,3,0,0,1274,0,0,16,31
1991,Reef,July,54,0,13,0,0,50,35,0,1,61,16,170,0,1,0,5,5,0,1691,0,0,86,78
1991,Reef,July,13,0,15,0,0,22,14,0,0,17,11,297,0,0,0,8,0,0,2381,0,0,36,28
1991,Reef,July,13,0,22,0,1,32,17,0,0,12,10,461,0,1,0,8,0,0,716,0,0,50,22
1991,Reef,Sep,8,0,14,0,0,2,21,1,0,109,54,849,0,0,3,12,0,0,3404,0,0,23,164
1991,Reef,Sep,2,0,1,0,3,3,14,1,0,131,51,535,0,0,1,6,0,4,5793,0,0,20,183
1991,Reef,Sep,0,0,3,0,1,3,21,1,0,96,47,552,0,0,3,15,0,0,5632,0,0,25,144
1991,Reef,Sep,2,0,2,0,4,7,24,1,1,143,174,755,0,0,3,11,1,5,2341,0,0,35,319
1991,Reef,Sep,0,1,0,0,1,2,12,0,0,57,53,498,0,0,2,26,0,0,7282,0,0,15,111
2014,Cobble,Sep,65,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,25,25,0,0,1,0,0
2014,Cobble,Sep,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0
2014,Cobble,Sep,51,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,3,20,0,0
2014,Cobble,Sep,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,0,2,2,0,0
2014,Cobble,Sep,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0,0,4,0,0
2014,Reef,Sep,0,0,7,0,0,0,0,0,0,0,0,5,1,0,0,0,35,21,0,10,36,0,0
